qualId,qualificationType,qualificationLevel,title,description,officialLink
Qualification ID,Qualification Type,Qualification Level,Title,Description,Link to Official Information
plumbApprenticeL3,Apprenticeship,3,Plumbing and Domestic Heating Technician (ST0303),"English apprenticeship standard covering installation, commissioning and maintenance of plumbing and domestic heating systems; the standard entry route into the trade.",https://www.instituteforapprenticeships.org/apprenticeship-standards/plumbing-and-domestic-heating-technician-v1-1
nvqPlumbingL2,NVQ Diploma,2,Level 2 NVQ Diploma in Plumbing and Domestic Heating (6189-11),Competence-based qualification assessed in the workplace; the baseline for practising plumbers (City & Guilds 6189; EAL equivalent available).,https://www.cityandguilds.com/qualifications-and-apprenticeships/building-services-industry/plumbing
nvqPlumbingL3,NVQ Diploma,3,Level 3 NVQ Diploma in Plumbing and Domestic Heating (6189-21),"Advanced competence qualification including complex systems design, fault diagnosis and supervision; required for JIB-PMES Advanced grading.",https://www.cityandguilds.com/qualifications-and-apprenticeships/building-services-industry/plumbing
plumbStudiesL2,Technical Certificate,2,Level 2 Diploma in Plumbing Studies (6035),"Knowledge-based college qualification covering plumbing science, common processes and system principles; usually paired with site experience.",https://www.cityandguilds.com/qualifications-and-apprenticeships/building-services-industry/plumbing
plumbStudiesL3,Technical Certificate,3,Level 3 Diploma in Plumbing Studies (6035),"Advanced college qualification adding complex systems, environmental technologies and design; a common route towards NVQ Level 3.",https://www.cityandguilds.com/qualifications-and-apprenticeships/building-services-industry/plumbing
hiuHeatNetworkL3,Industry Award,3,Level 3 Award in Domestic Heat Networks and Heat Interface Units,"LCL Awards qualification for installing, commissioning and maintaining HIUs on heat networks; directly relevant to heat-network acceptance work.",https://lclawards.co.uk
g3Unvented,Building Regs Competency,,Unvented Hot Water Systems (Building Regulations G3),"BPEC/City & Guilds competency for installing, commissioning and servicing unvented hot water storage systems; legally required for unvented cylinder work.",https://www.bpec.org.uk
waterRegs1999,Building Regs Competency,,Water Supply (Water Fittings) Regulations 1999,"Water Regulations (WRAS) competency covering byelaws, backflow prevention and fittings compliance; expected for approved-contractor schemes such as WIAPS/WaterSafe.",https://www.wras.co.uk
acsCCN1,ACS Assessment,,CCN1 Core Domestic Gas Safety,ACS core gas safety assessment; the prerequisite for domestic gas appliance categories and Gas Safe registration.,https://www.gassaferegister.co.uk
acsCENWAT,ACS Assessment,,CENWAT Central Heating Boilers and Water Heaters,ACS appliance category for domestic wet central-heating boilers and water heaters; held alongside CCN1 by heating engineers.,https://www.gassaferegister.co.uk
tmvServicing,Manufacturer/Industry Course,,TMV2/TMV3 Thermostatic Mixing Valve Servicing,Training in commissioning and annual verification of thermostatic mixing valves under TMV2 (domestic) and TMV3 (healthcare) schemes; relevant to TMV certificates.,https://www.beama.org.uk
legionellaL8,Manufacturer/Industry Course,,Legionella Awareness (ACoP L8),Training in the control of legionella bacteria in hot and cold water systems under HSE ACoP L8 / HSG274; expected for engineers working on stored and blended water.,https://www.hse.gov.uk/legionnaires
jibPlumberCard,Competence Card,,JIB-PMES Registered Plumber Card (CSCS),Industry competence card evidencing qualifications and identity for site access; graded (Trained/Registered/Advanced) against NVQ level held.,https://www.jib-pmes.org
heatPumpL3,Industry Award,3,Level 3 Award in Installation and Maintenance of Heat Pumps,LCL/BPEC qualification for air/ground source heat pump installation and servicing; increasingly relevant as networks integrate heat pumps.,https://lclawards.co.uk
